Campaign type,Campaign,Status,Country,Profile,Portfolio,Target type,Daily Budget,Current Budget,Bidding Strategy,SP Off-site Ads Strategy,Labels,Budget group,Impressions(Current period),Impressions(Comparison period),Impressions(Sequential growth rate),Clicks(Current period),Clicks(Comparison period),Clicks(Sequential growth rate),CTR(Current period),CTR(Comparison period),CTR(Sequential growth rate),Spend(Current period),Spend(Comparison period),Spend(Sequential growth rate),CPC(Current period),CPC(Comparison period),CPC(Sequential growth rate),Orders(Current period),Orders(Comparison period),Orders(Sequential growth rate),Sales(Current period),Sales(Comparison period),Sales(Sequential growth rate),Units(Current period),Units(Comparison period),Units(Sequential growth rate),CVR(Current period),CVR(Comparison period),CVR(Sequential growth rate),ACOS(Current period),ACOS(Comparison period),ACOS(Sequential growth rate),ROAS(Current period),ROAS(Comparison period),ROAS(Sequential growth rate),CPA(Current period),CPA(Comparison period),CPA(Sequential growth rate),Sales Same SKU(Current period),Sales Same SKU(Comparison period),Sales Same SKU(Sequential growth rate),Sales Other SKU(Current period),Sales Other SKU(Comparison period),Sales Other SKU(Sequential growth rate),Orders Same SKU(Current period),Orders Same SKU(Comparison period),Orders Same SKU(Sequential growth rate),Orders Other SKU(Current period),Orders Other SKU(Comparison period),Orders Other SKU(Sequential growth rate),Units Same SKU(Current period),Units Same SKU(Comparison period),Units Same SKU(Sequential growth rate),Units Other SKU(Current period),Units Other SKU(Comparison period),Units Other SKU(Sequential growth rate)
sponsoredProducts,"B0DLVS7R7V_Orna_1st christmas retired 2024 glass_retirement gift for woman b,p",Paused,US,NewEleven,x B0DLVS7R7V_ORNAMENT_1ST CHRISTMAS RETIRED 2024 GLASS,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,322,319,0.0094,8,6,0.3333,0.0248,0.0188,0.3191,15,8.8,0.7045,1.88,1.47,0.2789,5,1,4,84.95,16.99,4,5,1,4,0.625,0.1667,2.7493,0.1766,0.518,-0.6591,5.66,1.93,1.9326,3,8.8,-0.6591,84.95,16.99,4,0,0,0,5,1,4,--,--,--,5,1,4,--,--,--
sponsoredProducts,"B0DLVS7R7V_Orna_1st christmas retired 2024 glass_retired b,p",Paused,US,NewEleven,x B0DLVS7R7V_ORNAMENT_1ST CHRISTMAS RETIRED 2024 GLASS,manual,$10.00,$0.00,Dynamic bids and down,NOT_SET,--,,529,384,0.3776,21,16,0.3125,0.0397,0.0417,-0.048,30.66,24.4,0.2566,1.46,1.53,-0.0458,8,7,0.1429,135.92,118.93,0.1429,8,7,0.1429,0.381,0.4375,-0.1291,0.2256,0.2052,0.0994,4.43,4.87,-0.0903,3.83,3.49,0.0974,135.92,118.93,0.1429,0,0,0,8,7,0.1429,--,--,--,8,7,0.1429,--,--,--
sponsoredProducts,"B0DLVS7R7V_Orna_1st christmas retired 2024 glass_retirement b,p",Paused,US,NewEleven,x B0DLVS7R7V_ORNAMENT_1ST CHRISTMAS RETIRED 2024 GLASS,manual,$10.00,$0.00,Dynamic bids and down,NOT_SET,--,,695,423,0.643,15,4,2.75,0.0216,0.0095,1.2737,26.85,4.9,4.4796,1.79,1.23,0.4553,0,1,-1,0,16.99,-1,0,1,-1,0,0.25,-1,--,0.2884,--,0,3.47,-1,0,4.9,-1,0,16.99,-1,0,0,0,0,1,-1,--,--,--,0,1,-1,--,--,--
sponsoredProducts,"B0DJY79JYZ_Orna_Pet - my first christmas acrylic _dog ornament b,p",Paused,US,NewEleven,x B0DJY79JYZ_ORNAMENT_PET - MY FIRST CHRISTMAS ACRYLIC_Linh,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,2038,1800,0.1322,14,15,-0.0667,0.0069,0.0083,-0.1687,18.7,18.72,-0.0011,1.34,1.25,0.072,2,2,0,22.98,22.98,0,2,2,0,0.1429,0.1333,0.072,0.8138,0.8146,-0.001,1.23,1.23,0,9.35,9.36,-0.0011,22.98,22.98,0,0,0,0,2,2,0,--,--,--,2,2,0,--,--,--
sponsoredProducts,"B0DJY79JYZ_Orna_Pet - my first christmas acrylic _pet ornaments for christmas tree b,p",Paused,US,NewEleven,x B0DJY79JYZ_ORNAMENT_PET - MY FIRST CHRISTMAS ACRYLIC_Linh,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,771,527,0.463,5,6,-0.1667,0.0065,0.0114,-0.4298,7.74,8.94,-0.1342,1.55,1.49,0.0403,2,2,0,22.98,22.98,0,2,2,0,0.4,0.3333,0.2001,0.3368,0.389,-0.1342,2.97,2.57,0.1556,3.87,4.47,-0.1342,22.98,22.98,0,0,0,0,2,2,0,--,--,--,2,2,0,--,--,--
sponsoredProducts,"B0DJY7689G_Orna_It take a village glass_thank you gifts b,p 2",Paused,US,NewEleven,x B0DJY7689G_ORNAMENT_IT TAKE A VILLAGE GLASS_Linh,manual,$2.00,$0.00,Dynamic bids and down,NOT_SET,--,,680,1092,-0.3773,6,6,0,0.0088,0.0055,0.6,11.44,9.97,0.1474,1.91,1.66,0.1506,1,1,0,16.99,16.99,0,1,1,0,0.1667,0.1667,0,0.6733,0.5868,0.1474,1.49,1.7,-0.1235,11.44,9.97,0.1474,16.99,16.99,0,0,0,0,1,1,0,--,--,--,1,1,0,--,--,--
sponsoredProducts,"B0DJY7689G_Orna_It take a village glass_thank you gift b,p 2",Paused,US,NewEleven,x B0DJY7689G_ORNAMENT_IT TAKE A VILLAGE GLASS_Linh,manual,$2.00,$0.00,Dynamic bids and down,NOT_SET,--,,5124,3531,0.4511,20,19,0.0526,0.0039,0.0054,-0.2778,31,29.53,0.0498,1.55,1.55,0,5,1,4,169.9,16.99,9,10,1,9,0.25,0.0526,3.7529,0.1825,1.7381,-0.895,5.48,0.58,8.4483,6.2,29.53,-0.79,169.9,16.99,9,0,0,0,5,1,4,--,--,--,10,1,9,--,--,--
sponsoredProducts,"B0CZDP6TCN_Hat_Im not old Im classic_christmas gifts for men b,p",Paused,US,NewEleven,x B0CZDP6TCN_HAT_IM NOT OLD IM CLASSIC_NGAN,manual,$2.00,$0.00,Dynamic bids and down,NOT_SET,--,,699,489,0.4294,0,1,-1,0,0.002,-1,0,1.35,-1,--,1.35,--,0,1,-1,0,19.98,-1,0,1,-1,--,1,--,--,0.0676,--,--,14.8,--,0,1.35,-1,0,19.98,-1,0,0,0,0,1,-1,--,--,--,0,1,-1,--,--,--
sponsoredProducts,"B0CZDP6TCN_Hat_Im not old Im classic_old man gifts b,p",Paused,US,NewEleven,x B0CZDP6TCN_HAT_IM NOT OLD IM CLASSIC_NGAN,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,94,137,-0.3139,1,0,1,0.0106,0,1.06,1.35,0,1.35,1.35,--,--,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,0,0,0,--,--,--
sponsoredProducts,"B0CZDP6TCN_Hat_Im not old Im classic_old lives still matter gifts for men b,p",Paused,US,NewEleven,x B0CZDP6TCN_HAT_IM NOT OLD IM CLASSIC_NGAN,manual,$2.00,$0.00,Dynamic bids and down,NOT_SET,--,,20,15,0.3333,0,0,0,0,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,0,0,0,--,--,--
sponsoredProducts,"B0CZDP6TCN_Hat_Im not old Im classic_old man gifts for men b,p",Paused,US,NewEleven,x B0CZDP6TCN_HAT_IM NOT OLD IM CLASSIC_NGAN,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,134,83,0.6145,1,0,1,0.0075,0,0.75,1.35,0,1.35,1.35,--,--,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,0,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,0,0,0,--,--,--
sponsoredProducts,"B0CZDP6TCN_Hat_Im not old Im classic_funny old man gifts b,p",Paused,US,NewEleven,x B0CZDP6TCN_HAT_IM NOT OLD IM CLASSIC_NGAN,manual,$2.00,$0.00,Dynamic bids and down,NOT_SET,--,,84,24,2.5,0,2,-1,0,0.0833,-1,0,3,-1,--,1.5,--,0,0,0,0,0,0,0,0,0,--,0,--,--,--,--,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,0,0,0,--,--,--
sponsoredProducts,"B0CZDP6TCN_Hat_Im not old Im classic_gifts for old men b,p",Paused,US,NewEleven,x B0CZDP6TCN_HAT_IM NOT OLD IM CLASSIC_NGAN,manual,$2.00,$0.00,Dynamic bids and down,NOT_SET,--,,35,121,-0.7107,0,0,0,0,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,0,0,0,--,--,--
sponsoredProducts,"B0CQ2K12H3_20oz_Favorite grandchild + grandma nutri_christmas gifts for grandma b,p",Paused,US,NewEleven,B0CQ2K12H3_TUMBLER 20_MY FAVORITE GRANDCHILD + GRANDMA NUTRITION WHITE_Linh,manual,$10.00,$0.00,Dynamic bids and down,NOT_SET,--,,532,1031,-0.484,7,7,0,0.0132,0.0068,0.9412,9.9,11.34,-0.127,1.41,1.62,-0.1296,0,1,-1,0,18.49,-1,0,1,-1,0,0.1429,-1,--,0.6133,--,0,1.63,-1,0,11.34,-1,0,18.49,-1,0,0,0,0,1,-1,--,--,--,0,1,-1,--,--,--
sponsoredProducts,"B0CQ2K12H3_20oz_Favorite grandchild + grandma nutri_grandma christmas gifts b,p",Paused,US,NewEleven,B0CQ2K12H3_TUMBLER 20_MY FAVORITE GRANDCHILD + GRANDMA NUTRITION WHITE_Linh,manual,$10.00,$0.00,Dynamic bids and down,NOT_SET,--,,353,211,0.673,3,3,0,0.0085,0.0142,-0.4014,3.84,4.5,-0.1467,1.28,1.5,-0.1467,1,0,1,18.48,0,18.48,1,0,1,0.3333,0,33.33,0.2078,--,--,4.81,0,4.81,3.84,0,3.84,18.48,0,18.48,0,0,0,1,0,1,--,--,--,1,0,1,--,--,--
sponsoredProducts,"B0CQ2K12H3_20oz_Favorite grandchild + grandma nutri_grandma gifts b,p",Paused,US,NewEleven,B0CQ2K12H3_TUMBLER 20_MY FAVORITE GRANDCHILD + GRANDMA NUTRITION WHITE_Linh,manual,$5.00,$0.00,Dynamic bids and down,NOT_SET,--,,1223,662,0.8474,15,9,0.6667,0.0123,0.0136,-0.0956,20.97,12.15,0.7259,1.4,1.35,0.037,2,2,0,54.95,36.98,0.4859,3,2,0.5,0.1333,0.2222,-0.4001,0.3816,0.3286,0.1613,2.62,3.04,-0.1382,10.49,6.08,0.7253,36.96,36.98,-0.0005,17.99,0,17.99,1,2,-0.5,1,--,--,2,2,0,1,--,--
