(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0FD9RR4NB,B097H6PJCN,"NewEleven Gift For Uncle From Niece, Nephew - Funny Unkie Gift, Uncle Birthday Gifts - Best Present For New Uncles, Funcle, Unky Announcement - 20 Oz Tumbler",C5-L2Z6-TAT4,12,1,0.24%,1.45%,15,2,0.24%,2.41%,92.31%,0.00%,3,0,25.00%,0.00%,$59.94,$0.00,2,0
B0D6V486CJ,B09XDFF8FF,"NewEleven 20 Oz Tumbler - Farewell Gift for Coworker, BPA-Free Stainless Steel Drinking Cup, Double Wall Vacuum Insulation, Going Away Gift for Men Women, Good Luck Gifts",HR-LSGT-JYQH,366,3,7.47%,4.35%,410,3,6.52%,3.61%,99.75%,100.00%,2,0,0.55%,0.00%,$39.96,$0.00,2,0
B0DWDQQ88X,B0BRB6J55H,"NewEleven Gifts For Sister - Unique Birthday Present For Soul Sister, Big, Little Sis, Sisters In Law, Sibling, Bestie - 16 Oz Coffee Glass",OW-SAUE-CM7G,9,0,0.18%,0.00%,11,0,0.17%,0.00%,100.00%,0.00%,2,0,22.22%,0.00%,$19.98,$0.00,2,0
B0D8699Y17,B0BYCT1SRJ,"NewEleven Gifts For Aunt From Niece, Nephew - Cool Gifts For Auntie, Sister - Aunty Birthday Gift - Announcement, Promoted To Aunt - 16 Oz Coffee Glass",LH-BSSY-KKX9,16,0,0.33%,0.00%,19,0,0.30%,0.00%,100.00%,0.00%,3,0,18.75%,0.00%,$47.94,$0.00,2,0
B0D6YH6BCN,B0BYDDFNBD,"NewEleven Gifts For Book Lovers - Book Lovers Gifts For Women - Bookish Gift for Readers, Librarians, Bookaholics, Bookworm - Birthday Gift For Women, Her, Best Friend – 16 Oz Coffee Glass",BC-HKBD-KBAM,36,0,0.73%,0.00%,43,0,0.68%,0.00%,100.00%,0.00%,2,0,5.56%,0.00%,$19.98,$0.00,2,0
B0FG7PKPXP,B0CBJR253J,"NewEleven Gifts For Nurse - Nurse Gift For Women - Caregiver Appreciation Gifts, Nursing Student, Nurses Practitioner - RN Gift For Nurses Women - 16 Oz Coffee Glass",DM-ZO4D-MA58,14,0,0.29%,0.00%,22,0,0.35%,0.00%,100.00%,0.00%,3,0,21.43%,0.00%,$29.97,$0.00,2,0
B0DVZ9NWDG,B0CDLPSMGF,"NewEleven Coworker Leaving Gifts - Farewell, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gifts For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler",CO-C7X6-C1NV,9,1,0.18%,1.45%,10,1,0.16%,1.20%,100.00%,100.00%,2,0,22.22%,0.00%,$39.96,$0.00,2,0
B0FD9TKCYT,B0CFQ4CDD5,"NewEleven Gifts For Women – Chaos Coordinator Gifts For Women, Boss, Manager, Coworker, Best Friend - Appreciation, Inspirational Gift For Teacher, Nurse, Social Worker – 20 Oz Tumbler",7K-U1QW-2RDX,14,1,0.29%,1.45%,21,2,0.33%,2.41%,100.00%,100.00%,2,0,14.29%,0.00%,$35.96,$0.00,2,0
B0F9W75LLW,B0CG8NHNWF,"NewEleven Gifts For Mom, Wife - Gifts For Mom From Daughter, Son, Kids - Unique Birthday Present Ideas For Mother, Wife, New Mama From Daughter, Son, Husband - 20 Oz Tumbler",2F-5232-03M8,29,0,0.59%,0.00%,39,0,0.62%,0.00%,31.58%,0.00%,2,0,6.90%,0.00%,$39.96,$0.00,2,0
B0FD9TKCYT,B0CHJ3W9SQ,"NewEleven Gifts For Coworker Friends – Work Bestie Gifts For Women Friendship - Unique Present Ideas For Coworker Leaving, Going Away, Goodbye, Farewell Party – 20 Oz Tumbler",LA-XF5O-M492,17,0,0.35%,0.00%,23,0,0.37%,0.00%,100.00%,0.00%,2,0,11.76%,0.00%,$39.96,$0.00,2,0
