Product,ASIN,Date,SKU,Units,Refunds,Sales,Promo,Ads,Sponsored products (PPC),% Refunds,Sellable Quota,Refund сost,Amazon fees,Cost of Goods,Gross profit,Net profit,Estimated payout,Margin,ROI,BSR,Real ACOS,Sessions,Unit Session Percentage,Sponsored Display
"NewEleven Gifts For New Mom 2025 – Pregnancy Gifts For First Time Mom, Pregnant Mommy, Expecting Mother, Moms To Be, Mommy To Be, New Moms - 16 Oz Coffee Glass
COG: 2,23 / Price: 12,99",B0DCJM56W3,2025-08-02,SG-SV6L-3ILW,7.0,1.0,90.93,,-19.2,-19.2,14.29,,-8.67,-49.98,-15.61,-2.53,-2.53,13.08,-2.78,-16.21,8345.0,21.12,30.0,23.33,
"NewEleven Gifts For Grandma - Christian Gift, Nana Gift, Grandma Birthday Gifts From Granddaughter, Grandson, Kids - Decorative Glass Inspirational Scripture Jar with 92 Bible Verse
COG: 0 / Price: 17,98",B0FBQZZK71,2025-08-02,RW-PY02-EIMY,7.0,,125.86,,-96.15,-96.15,,-,,-52.64,,-22.93,-22.93,-22.93,-18.22,,17178.0,76.39,70.0,10.0,
"NewEleven Gifts For Women - Wedding Anniversary Card For Wife, Husband, Couple - Romanic Love Gifts For Boyfriend From Girlfriend, Her - Greeting Card
COG: 0,42 / Price: 6,99",B0FC5SSDXK,2025-08-02,D0-B6A7-C5GP,7.0,,48.93,,-11.46,-11.46,,-,,-8.12,-2.94,26.41,26.41,29.35,53.98,898.3,19537.0,23.42,28.0,25.0,
"NewEleven 60th Birthday Gifts For Women - 1965 Birthday Decorations For Women - Happy 60th Celebration Gifts - Gift for turning 60 For Mom, Wife, Aunt - 12 Oz Wine Tumbler
COG: 3,31 / Price: 19,98",B08R8PXYL6,2025-08-02,ZG-6MPB-F5JV,6.0,,119.88,-1.0,-41.68,-41.68,,100,3.31,-44.54,-19.86,16.11,16.11,32.66,13.44,81.12,7833.0,34.77,24.0,25.0,
"NewEleven Coworker Leaving Gifts - Gifts For Coworker Farewell, Going Away, Goodbye, New Job - Good Luck Presents For Friends, Boss, Women, Work Bestie – 16 Oz Coffee Glass
COG: 2,42 / Price: 14,98",B0BRB6NJCT,2025-08-02,MF-GYAU-GTQX,6.0,,89.88,,-18.09,-18.09,,-,,-42.18,-14.52,15.09,15.09,29.61,16.79,103.93,14759.0,20.13,51.0,11.76,
"NewEleven 40th Birthday Gifts For Women - 40s Birthday Decorations For Women - 40 Year Old Gifts For Her, Sister, Mom, Daughter, Best Friend - In My Forties Era Wine Tumbler - 12 Oz Tumbler
COG: 3,21 / Price: 17,98",B0CYS94K31,2025-08-02,75-LNB7-IBAL,6.0,,107.88,-0.89,-23.4,-23.4,,-,,-42.57,-19.26,21.76,21.76,41.02,20.17,112.98,7833.0,21.69,14.0,42.86,
"NewEleven Women - Friend Gifts Ornaments 2025 - Friendship Gifts for Friends, Birthday Gift for Women, Besties, Soul Sisters - Ceramic Christmas Ornaments
COG: 0,91 / Price: 4,99",B0DK16MCXG,2025-08-02,JC-JJYR-OWD3,6.0,,29.94,-1.75,,,,-,,-18.42,-5.46,4.31,4.31,9.77,14.4,78.94,367988.0,,6.0,100.0,
"NewEleven Dog Dad Gifts For Men - Humorous Present, Cute Birthday Gifts For Dog Lovers, Husband, Him - Funny Dog Dad Card From Friend, Family - Greeting Card
COG: 0,39 / Price: 6,99",B0FC5TBFWB,2025-08-02,60-KN47-M9LV,6.0,,41.94,-2.1,-18.17,-18.17,,-,,-20.34,-2.34,-1.01,-1.01,1.33,-2.41,-43.16,9160.0,43.32,24.0,25.0,
"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gift For Coworkers, Colleagues, Boss, Men, Women, Friends - 20 Oz Tumbler
COG: 4,22 / Price: 19,98",B09ZYCD6GX,2025-08-02,1Q-FSNP-VBED,5.0,,99.9,,-5.4,-5.4,,-,,-37.25,-21.1,36.15,36.15,57.25,36.19,171.33,17796.0,5.41,18.0,27.78,
"NewEleven Gifts For Cat Mom, Cats Lover - Cat Gifts For Women - Cute Kitten Stuff, Cats Themed Gift For Women - Cute Funny Gift For Her, Best Friend - 16 Oz Coffee Glass
COG: 2 / Price: 9,99",B0BRCJ5VYH,2025-08-02,CZ-V369-AMB3,5.0,,49.95,-1.0,,,,-,,-31.07,-10.0,7.88,7.88,17.88,15.78,78.8,40479.0,,13.0,38.46,
