Product,ASIN,Date,SKU,Units,Refunds,Sales,Promo,Ads,Sponsored products (PPC),Sponsored Display,% Refunds,Sellable Quota,Refund сost,Amazon fees,Cost of Goods,Gross profit,Net profit,Estimated payout,Margin,ROI,BSR,Real ACOS,Sessions,Unit Session Percentage
"NewEleven Sister Birthday Gifts - Gift For Sister, Soul Sis, Sisters In Law - Sisters Gifts From Sister, Brother, Friend, Family - Decorative Glass Scripture Jar With 92 Bible Verse COG: 2,59 / Price: 18,98",B0F13S4HSG,2025-08-10,M7-LMCU-PTYK,11.0,,20878.0,,-7922.0,-7922.0,,,,,-8019.0,-2849.0,2088.0,2088.0,4937.0,1000.0,7329.0,,3794.0,196.0,561.0
"NewEleven Daughter Birthday Gifts - Gifts For Daughter, Daughters In Law - Daughters Birthday Gift Ideas From Mom, Dad - Decorative Glass Scripture Jar With 92 Bible Verse COG: 2,44 / Price: 17,98",B0F13VCCMP,2025-08-10,CG-9LUS-K14G,6.0,,10788.0,,,,,,,,-4272.0,-1464.0,5052.0,5052.0,6516.0,4683.0,34508.0,,,61.0,984.0
"NewEleven Fathers Day Gift For Dad - Funny Present For Father, Men - Dad Birthday Gift, Unique Father Gifts From Daughter, Son, Kid, Wife - 20 Oz Tumbler Navy COG: 3,5 / Price: 16,98",B0F17F23MZ,2025-08-10,R8-7X5D-8W4W,,,,,,,,,,,,,,,,,,,,2.0,
"NewEleven Gifts For Boyfriend - Birthday Present, Love Gift Ideas For Him, Boyfriends - Funny Boyfriend Gifts From Girlfriend, Lover - 20 Oz Tumbler COG: 0 / Price: 16,98",B0F184GZ28,2025-08-10,LP-SW88-TZBB,1.0,,1698.0,-85.0,,,,,,,-681.0,,932.0,932.0,932.0,5489.0,,,,1.0,10000.0
"NewEleven Retirement Gift For Woman 2025 - Farewell Gifts For Coworkers, Boss, Friend, Teacher, Grandma - Coworker Leaving Gifts For Women From Friend, Family - Tumbler 12 Oz COG: 3,4 / Price: 22,98",B0F189PXWB,2025-08-10,L4-F4C9-QOS5,,,,,,,,,,,,,,,,,,,,9.0,
"NewEleven Retirement Gifts For Men 2025 - Coworker Leaving, Goodbye Gift, Farewell Gifts For Coworkers, Friends, Dad, Grandpa - Retirement Gift For Men From Friend, Family, Colleague - Whiskey Glass COG: 1,96 / Price: 22,98",B0F18CMJ3L,2025-08-10,CU-4EWE-9UH1,27.0,,62046.0,-345.0,-10942.0,-10942.0,,,,,-22475.0,-5292.0,22992.0,22992.0,28284.0,3706.0,43447.0,,1764.0,143.0,1888.0
"NewEleven Retirement Gift For Woman, Men 2025 - Goodbye Present, Going Away Gift, Farewell Gifts For Coworkers - Retirement Gifts For Men, Women From Colleague, Friend, Family - 20 Oz Tumbler COG: 3,5 / Price: 22,98",B0F18PVLJ1,2025-08-10,WD-3UXP-TSPV,11.0,,25278.0,,-866.0,-866.0,,,,,-9182.0,-385.0,3586.0,3586.0,7436.0,1419.0,9314.0,,3426.0,78.0,1410.0
"NewEleven Gifts For Dad - Funny Present For Father, Men - Dad Birthday Gift, Unique Father Gifts From Daughter, Son, Kid, Wife - 20 Oz Tumbler Black COG:  / Price: 0",B0F1FWGNH8,2025-08-10,,,,,,,,,,,,,,,,,,,,,1.0,
"NewEleven Birthday Gifts For Mom, Funny Card Gifts For Mom, Awesome Mommy Present From Daughter, Best Mother's Day Gift Idea For Wife, Sister - Humorous Greeting Card COG: 0,45 / Price: 9,99",B0F2T4JDF7,2025-08-10,AU-GMLU-KG6Z,3.0,,2997.0,,-56.0,-56.0,,,,,-1182.0,-135.0,1120.0,1120.0,1255.0,3737.0,82963.0,,1869.0,11.0,2727.0
"NewEleven Birthday Gifts For Mom, Gifts For Mom From Daughter, Birthday Card For Mommy - Cool Mothers From Daughter, Son, Kids - Greeting Card COG: 0,42 / Price: 4,99",B0F2T9H9W8,2025-08-10,IH-G19E-BA1G,,,,,,,,,,,,,,,,,,,,1.0,
"NewEleven Funny Gifts For Mom, Mothers Day Card For Mom From Daughter, Kids On Mother's Day - Funny Mothers Day Gifts, Birthday Present, Humorous Greeting Cards For Mother COG: 0,42 / Price: 7,99",B0F2TC6CP7,2025-08-10,GI-HLHH-RG89,1.0,,799.0,-4.0,,,,,,,-354.0,-42.0,363.0,363.0,405.0,4543.0,86429.0,,,4.0,2500.0
"NewEleven Gifts For Mom - Birthday Card For Mom From Daughter, Son, Kids, Husband - Wife Gift - Unique Present Ideas For Mother, Mother In Law, Wife, New Mama - Greeting Card COG: 0,46 / Price: 9,99",B0F2TDMHFC,2025-08-10,LT-01MF-LZ2N,5.0,1.0,4995.0,,-2053.0,-2053.0,,2000.0,,-867.0,-197.0,-23.0,-125.0,-125.0,105.0,-250.0,-5435.0,,4110.0,28.0,1786.0
"NewEleven Retirement Gifts - Retirement Gift for Woman, Farewell Gift, Goodbye Present for Men, Women - Going Away, Goodbye Gifts for Coworkers - Candle COG: 3,8 / Price: 11,98",B0F3C9BMFZ,2025-08-10,WY-FHPL-MTWW,,,,,-286.0,-286.0,,,,,,,-286.0,-286.0,-286.0,,,,,7.0,
"NewEleven Gifts For Dad, Dad Birthday Gift For Father From Daughter, Son, Kid, Wife - Birthday Card, Unique Gifts, Funny Present For Dads, Humorous Greeting Card COG: 0,44 / Price: 7,99",B0F59PXL1F,2025-08-10,7G-FTQK-LHH4,,,,,,,,,,,62.0,,620.0,620.0,62.0,,,,,,
"NewEleven Gifts For Dad - Fathers Day Card For Dad, Birthday Present For Dads, Bonus Dads - Fathers Day Card From Daughter, Son, Kid, Wife - Humorous Greeting Card COG: 0,44 / Price: 4,99",B0F59S997T,2025-08-10,F0-2QAC-J9UH,,,,,,,,,,,,,,,,,,,,1.0,
"NewEleven Birthday Card For Dad - Fathers Day Gift, Heartfelt Present For Dads, Bonus Dads, Father In Law - Dad Birthday Gift From Daughter, Son, Kid, Wife - Greeting Card COG: 0,44 / Price: 7,99",B0F59VGXBY,2025-08-10,4N-OLIJ-V92Z,,,,,,,,,,,,,,,,,,,,1.0,
"NewEleven Dad Birthday Gift - Meaningful Present For Dads, Bonus Dads - Cute Dad Birthday Card, Fathers Day Card From Son, Daughter, Favorite Kids - Greeting Card COG: 0,44 / Price: 7,99",B0F59X5XB6,2025-08-10,BQ-8IHB-2PJV,,,,,,,,,,,,,,,,,,,,1.0,
"NewEleven Gifts For Son - Meaningful Fathers Day Card For Son From Mom And Dad - Unique Present, Heartfelt Messeage, Father's Day Gifts For Sons, Dad First Time - Greeting Card COG: 0,44 / Price: 7,99",B0F59X7WSH,2025-08-10,H2-9Z1Y-AGEF,,,,,,,,,,,-16.0,,-16.0,-16.0,-16.0,,,,,1.0,
"NewEleven Dad Gifts - Gifts For Dad From Daughter, Son, Kid, Wife - Heartfelt Message, Fathers Day Card For Dads, Bonus Das, Step Father - Greeting Card COG: 0,44 / Price: 7,99",B0F59Y459Y,2025-08-10,RZ-9XXR-XH01,,,,,,,,,,,,,,,,,,,,4.0,
"NewEleven Dad Birthday Card - Gifts For Dad From Daughter, Son, Kid - Father's Day Gift Idea For Dads, Bonus Dads - Humorous Greeting Card COG: 0,44 / Price: 7,99",B0F59YJV71,2025-08-10,50-79MF-SYWH,1.0,,799.0,-4.0,,,,,,,444.0,-44.0,1159.0,1159.0,1203.0,14506.0,,,,5.0,2000.0
"NewEleven Grandpa Gifts - Grandpa Birthday Gifts, Gift For Grandparents From Kids, Child - Birthday Gift, Heartfelt Message, Fathers Day Card For Grandpa, Papa - Greeting Card COG: 0,44 / Price: 7,99",B0F59Z29ZR,2025-08-10,OQ-C9LE-D894,,,,,,,,,,,-32.0,,-32.0,-32.0,-32.0,,,,,5.0,
"NewEleven Gifts For Dad - Dad Birthday Card, Funny Present, Fathers Day Card For Dads From Daughter, Son, Kids - Unique Birthday, Father's Day Gift - Humorous Greeting Cards COG: 0,44 / Price: 7,99",B0F5B1ZFQW,2025-08-10,92-DVSY-QP6W,,,,,,,,,,,,,,,,,,,,1.0,
"NewEleven Coworker Gifts For Women, Men - Funny Best Friend Present For Work Bestie, Boss, Friends - Gift For Boss, Employer, Bestfriend Gag Gift From Colleague, Friends - 20 Oz Tumbler COG: 0 / Price: 19,98",B0F6M1XX87,2025-08-10,51-MNGA-I4QG,2.0,,3996.0,,,,,,,,-149.0,,2506.0,2506.0,2506.0,6271.0,,,,28.0,714.0
"NewEleven Birthday Gifts For Women - Christian Gifts For Women, Her, Friends - Appreciation Present From Friend, Family - Decorative Glass Inspirational Scripture Jar With 92 Bible Verse COG: 2,62 / Price: 16,98",B0F6M3X7LG,2025-08-10,9Y-C7LJ-8AVP,10.0,,15282.0,-357.0,-1904.0,-1904.0,,,,,-5978.0,-262.0,4423.0,4423.0,7043.0,2894.0,16882.0,,1246.0,51.0,1961.0
"NewEleven Father's Day Gifts, Dog Dad Gifts For Men, Unique Dads Gift For Father's Day, Cute Fathers Day Card From Dog, Puppy For Men Husband - Greeting Card COG: 0,43 / Price: 7,99",B0F7LJYVN5,2025-08-10,PU-6IQ0-1725,,,,,,,,,,,,,,,,,,,,1.0,
