State,Portfolio,Status,Budget type,Budget(USD),Budget start,Budget end,Campaign count,Impressions,Clicks,CTR,Spend(USD),CPC(USD),Orders,Sales(USD),ACOS,ROAS,NTB orders,% of orders NTB,NTB sales(USD),% of sales NTB,Viewable impressions,VCPM(USD)
,x B0B2JFV9YP_CANDLE_NEIGHBOR AREN'T WEIRDOS,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,609988,2893,0.0047,7113.02,2.46,253,5045.92,1.4097,0.7094,0,0,0.00,0,0,0.00
,B0DK15B6KL_ORNAMENT_RELIGIOUS CHRISTMAS CERAMIC_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,222427,797,0.0036,1243.14,1.56,83,892.80,1.3924,0.7182,0,0,0.00,0,0,0.00
,x B0CZDN36VK_TUMBLER 20_DEAR DAD GREAT JOB WE'RE AWESOME THANK YOU BLACK,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,1019393,1076,0.0011,3573.24,3.32,148,2591.89,1.3786,0.7254,0,0,0.00,0,0,0.00
,B0DVSKBSWN_BIBLE JAR_DAD_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,6151151,48605,0.0079,95681.02,1.97,4015,69605.97,1.3746,0.7275,0,0,0.00,0,0,0.00
,x B0CBJQHG8B_COFFEE GLASS_FLOWER COLOR CHANGING,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,620689,2809,0.0045,2347.30,0.84,87,1745.67,1.3446,0.7437,0,0,0.00,0,0,0.00
,B0F2T9H9W8_CARD_MY FAVORITE CHILD GAVE ME THIS CARD_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,106928,165,0.0015,207.72,1.26,20,154.77,1.3421,0.7451,0,0,0.00,0,0,0.00
,x B0C2TBXN53_COFFEE GLASS_CONGRATULATION ON PURSUING YOUR DREAM,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,299490,1058,0.0035,2129.11,2.01,92,1595.17,1.3347,0.7492,0,0,0.00,0,0,0.00
,B0CYSGX6DF_CANDLE_MY LAST NERVE OH LOOK_NGAN,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,858284,1692,0.002,4801.89,2.84,217,3598.62,1.3344,0.7494,0,0,0.00,0,0,0.00
,x B0CHJ3YLP9_TUMBLER 20_COOL MOM CLUB WHITE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,478042,2015,0.0042,3984.12,1.98,168,2989.56,1.3327,0.7504,0,0,0.00,0,0,0.00
,x B0DJYZSQXT_ORNAMENT_MR & MRS GLASS,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,69726,639,0.0092,1355.04,2.12,110,1016.85,1.3326,0.7504,0,0,0.00,0,0,0.00
,x BUNDLE 2023,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,237253,710,0.003,1183.76,1.67,66,889.94,1.3302,0.7518,0,0,0.00,0,0,0.00
,x B0D7MXLVWS_ORNAMENT_BABY'S FIRST CHRISTMAS 2024 ACRYLIC,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,324599,1833,0.0056,3564.06,1.94,228,2679.51,1.3301,0.7518,0,0,0.00,0,0,0.00
,launching B0FC686CQV_CARD_IT WILL BE SHIT HERE WITHOUT YOU Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,18521,400,0.0216,494.23,1.24,56,373.39,1.3236,0.7555,0,0,0.00,0,0,0.00
,x B0C5C9RV2V_HAT_TRUCKER HAT DAD,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,1788172,2543,0.0014,6183.81,2.43,293,4736.55,1.3056,0.766,0,0,0.00,0,0,0.00
,x B0DJBGMLS2_ORNAMENT_PROMOTED TO GRANDPARENTS_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,81989,549,0.0067,1113.55,2.03,77,853.57,1.3046,0.7665,0,0,0.00,0,0,0.00
,x B0C5J95LN2_WINE GLASS_VINTAGE 1983,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,687896,1705,0.0025,4535.65,2.66,231,3479.21,1.3036,0.7671,0,0,0.00,0,0,0.00
,B0F5B1ZFQW_CARD_DIFFERENT DAD WOULD PUNCH_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,216668,844,0.0039,947.89,1.12,82,729.38,1.2996,0.7695,0,0,0.00,0,0,0.00
,B0F6M1XX87_TUMBLER 20_WORK FORECAST BLACK_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,50056,898,0.0179,2195.84,2.45,76,1696.22,1.2945,0.7725,0,0,0.00,0,0,0.00
,x B0CZDR729P_HAT_TRUCKER HAT 1994,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,181790,450,0.0025,1386.39,3.08,65,1077.14,1.2871,0.7769,0,0,0.00,0,0,0.00
,B0F1FWGNH8_TUMBLER 20_DAD TRUMP LOSER BLACK_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,49190,467,0.0095,936.52,2.01,67,738.51,1.2681,0.7886,0,0,0.00,0,0,0.00
,Launching_B0FC69GZW9_CARD_MAY YOU BE PROUD OF THE WORK_THILE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,24731,356,0.0144,586.37,1.65,66,465.30,1.2602,0.7935,0,0,0.00,0,0,0.00
,Launching_B0FC5XQTBQ_CARD_HAPPY BIRTHDAY DOG MOM_THILE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,10049,117,0.0116,255.30,2.18,34,203.66,1.2536,0.7977,0,0,0.00,0,0,0.00
,B0DPM5JXP7_ORNAMENT_NEW HOME NEW BEGINNINGS NEW MEMORIES 2025 GLASS_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,732714,3060,0.0042,5594.76,1.83,417,4464.74,1.2531,0.798,0,0,0.00,0,0,0.00
,B0F59VYMYR_CARD_HUSBAND_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,226487,1140,0.005,1406.60,1.23,121,1129.78,1.245,0.8032,0,0,0.00,0,0,0.00
,x B0CKYKT79X_CANDLE_MOM LAST NERVE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,2036939,3015,0.0015,6016.53,2.00,346,4848.85,1.2408,0.8059,0,0,0.00,0,0,0.00
,B0DRT3MK34_ORNAMENT_THE BEST IS YET TO COME ENGAGED 2025 GLASS_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,635359,3901,0.0061,7374.63,1.89,681,5952.80,1.2389,0.8072,0,0,0.00,0,0,0.00
,x B0DJYC5Y9Q_ORNAMENT_AFFIRMATION CERAMIC_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,42490,454,0.0107,681.12,1.50,56,550.26,1.2378,0.8079,0,0,0.00,0,0,0.00
,B0FC69XTZ9_CARD_CONGRATULATIONS ON LEAVING YOUR JOB_NGAN,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,91049,659,0.0072,1118.74,1.70,107,904.78,1.2365,0.8087,0,0,0.00,0,0,0.00
,x B0B9SGJGSV_COFFEE GLASS_NOT ADAY EVER FABULOUS,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,810253,2891,0.0036,5276.51,1.83,246,4268.51,1.2361,0.809,0,0,0.00,0,0,0.00
,x B0DK155YN3_ORNAMENT_UNDER THE TREE CERAMIC,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,166372,497,0.003,802.78,1.62,47,654.07,1.2274,0.8148,0,0,0.00,0,0,0.00
,x B0CFQ44LNB_COFFEE GLASS_BOSS LADY,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,196922,473,0.0024,1246.67,2.64,77,1031.28,1.2089,0.8272,0,0,0.00,0,0,0.00
,B0BRB6J55H_COFFEE GLASS_I'D WALK THROUGH FIRE FOR YOU SISTER_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,493814,2681,0.0054,3781.53,1.41,175,3155.29,1.1985,0.8344,0,0,0.00,0,0,0.00
,B0CYSPFVG9_CANDLE_MORE FUN THAN TWO TWENTY-FIVE_NGAN,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,306707,1032,0.0034,3741.82,3.63,186,3123.19,1.1981,0.8347,0,0,0.00,0,0,0.00
,x B0DK2RZX43_ORNAMENT_OUR FIRST CHRISTMAS TOGETHER CERAMIC,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,150982,1071,0.0071,1653.93,1.54,161,1405.39,1.1768,0.8497,0,0,0.00,0,0,0.00
,x B0D4QKXVTN_TUMBLER 12_IN MY ENGAGED ERA ROSE GOLD,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,326959,909,0.0028,3011.65,3.31,156,2608.86,1.1544,0.8663,0,0,0.00,0,0,0.00
,B0F3C9BMFZ_CANDLE_SMELLS LIKE IT'S NOT MY PROBLEM ANYMORE_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,250707,1647,0.0066,4678.41,2.84,237,4114.87,1.137,0.8795,0,0,0.00,0,0,0.00
,x B0CCDLVFL5_COFFEE GLASS_SISTER GOD WAY,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,244454,1047,0.0043,1811.28,1.73,81,1595.96,1.1349,0.8811,0,0,0.00,0,0,0.00
,x B0C5J67SPG_BEER CAN_VINTAGE 1993,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,469633,963,0.0021,2243.46,2.33,138,1978.08,1.1342,0.8817,0,0,0.00,0,0,0.00
,Launching_B0FC6B7XH2_CARD_RETIREMENT QUITTER OOPS_THILE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,20248,364,0.018,664.35,1.83,85,586.09,1.1335,0.8822,0,0,0.00,0,0,0.00
,x B0DK16QYNP_ORNAMENT_THANK GOD CERAMIC,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,71778,587,0.0082,1040.97,1.77,79,925.84,1.1244,0.8894,0,0,0.00,0,0,0.00
,x B09XDZL14H_TUMBLER 20_DAD DAUGHTER BLACK,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,7151088,11160,0.0016,26442.35,2.37,943,23567.88,1.122,0.8913,0,0,0.00,0,0,0.00
,x B0DJYD117Z_ORNAMENT_HAPPY 60TH BIRTHDAY CERAMIC,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,45215,233,0.0052,343.77,1.48,26,306.69,1.1209,0.8921,0,0,0.00,0,0,0.00
,x B0DJY87DG8_ORNAMENT_GODPARENTS CERAMIC,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,51915,319,0.0061,622.15,1.95,45,555.49,1.12,0.8929,0,0,0.00,0,0,0.00
,B09S9PGL4T_TUMBLER 20_NICE TITS WHITE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,32268,281,0.0087,428.15,1.52,15,382.68,1.1188,0.8938,0,0,0.00,0,0,0.00
,B0CY4VFW91_APRON_DAD NUTRITION_NGAN,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,284010,1593,0.0056,2646.91,1.66,145,2374.33,1.1148,0.897,0,0,0.00,0,0,0.00
,x B0DJY5ZSY9_ORNAMENT_MOTHER - DAUGHTER CERAMIC_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,97697,377,0.0039,732.94,1.94,84,661.42,1.1081,0.9024,0,0,0.00,0,0,0.00
,x B0BC8TKH8X_WINE GLASS_WORLD'S BEST MOM,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,1075187,3147,0.0029,6462.91,2.05,308,5855.75,1.1037,0.9061,0,0,0.00,0,0,0.00
,x B0DJY3RDHV_ORNAMENT_OUR ADVENTURE AWAITS CERAMIC,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,93816,363,0.0039,776.36,2.14,71,705.29,1.1008,0.9085,0,0,0.00,0,0,0.00
,B0CRKR75LJ_TUMBLER 20_GRANDMASAURUS + GRANDMA NUTRITION  WHITE_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,588906,2823,0.0048,6460.23,2.29,364,5899.98,1.095,0.9133,0,0,0.00,0,0,0.00
,x B0CHJ2KQ92_TUMBLER 20_COOL SISTER CLUB WHITE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,514217,1253,0.0024,2989.06,2.39,116,2759.96,1.083,0.9234,0,0,0.00,0,0,0.00
,x B0B8D1RZRF_WINE GLASS_VINTAGE 1992,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,332081,1655,0.005,4342.09,2.62,217,4035.64,1.0759,0.9294,0,0,0.00,0,0,0.00
,B0DJY5K8QD_ORNAMENT_GRANDMOTHER - GRANDDAUGHTER CERAMIC_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,133157,793,0.006,1524.38,1.92,135,1417.42,1.0755,0.9298,0,0,0.00,0,0,0.00
,B0DJY12521_ORNAMENT_ALL BOOKED FOR CHRISTMAS CERAMIC,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,47286,160,0.0034,310.59,1.94,26,290.56,1.0689,0.9355,0,0,0.00,0,0,0.00
,x B0C5J3BKGW_COFFEE GLASS_ADVENTURE BEGINS,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,655941,2028,0.0031,3917.43,1.93,204,3668.75,1.0678,0.9365,0,0,0.00,0,0,0.00
,B0D72QM578_CANDLE_DIFFERENCE MAKER_NGAN,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,179096,1355,0.0076,3010.53,2.22,126,2836.66,1.0613,0.9422,0,0,0.00,0,0,0.00
,x B0C3D324P3_TUMBLER 20_SISTER CHOOSE WHITE BLUE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,824774,3180,0.0039,6472.79,2.04,366,6129.20,1.0561,0.9469,0,0,0.00,0,0,0.00
,x B0DLVRL4C1_ORNAMENT_WORK BESTIE GLASS,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,112532,657,0.0058,1081.62,1.65,70,1025.10,1.0551,0.9477,0,0,0.00,0,0,0.00
,B0D82XJDLM_CANDLE_PET MEMORIAL I'M RIGHT HERE_NGAN,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,104371,1084,0.0104,2454.07,2.26,149,2329.41,1.0535,0.9492,0,0,0.00,0,0,0.00
,x B0BC8QLF1R_COFFEE GLASS_BEST MOM EVER,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,1102478,3717,0.0034,8409.29,2.26,410,7990.92,1.0524,0.9502,0,0,0.00,0,0,0.00
,B0D1GF81G8_COFFEE GLASS_IN MY NURSE ERA + NUTRITION FACTS THILE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,259478,1903,0.0073,4053.30,2.13,218,3862.28,1.0495,0.9529,0,0,0.00,0,0,0.00
,x B0DJY14TYV_ORNAMENT_FAMILY CERAMIC,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,171696,739,0.0043,1413.17,1.91,85,1361.31,1.0381,0.9633,0,0,0.00,0,0,0.00
,B0F13VCCMP_BIBLE JAR_DAUGHTER_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,359369,5090,0.0142,8589.93,1.69,476,8305.94,1.0342,0.9669,0,0,0.00,0,0,0.00
,B0F59VRD37_CARD_UGLY CHILDREN_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,192899,507,0.0026,700.48,1.38,76,678.62,1.0322,0.9688,0,0,0.00,0,0,0.00
,B0DWN3SH33_COFFEE GLASS_NURSE COFFEE SCRUBS RUBBER GLOVES_THILE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,477590,2774,0.0058,4895.96,1.76,284,4746.45,1.0315,0.9695,0,0,0.00,0,0,0.00
,x B0DLWJ2NXX_ORNAMENT_NURSE CERAMIC THILE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,44726,253,0.0057,442.55,1.75,14,431.98,1.0245,0.9761,0,0,0.00,0,0,0.00
,x B0DK394WV1_ORNAMENT_NEVER FORGET HOW FLAMAZING YOU ARE CERAMIC,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,116660,384,0.0033,753.15,1.96,76,736.16,1.0231,0.9774,0,0,0.00,0,0,0.00
,x B0C5C9VHMK_HAT_TRUCKER HAT PAPAW,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,207904,1303,0.0063,3399.50,2.61,227,3351.22,1.0144,0.9858,0,0,0.00,0,0,0.00
,B0CKYMNV39_COFFEE GLASS_CATS AND BOOK_TRINH,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,318020,1608,0.0051,2430.53,1.51,152,2399.18,1.0131,0.9871,0,0,0.00,0,0,0.00
,x B0BRCFCDFS_COFFEE GLASS_WEARS,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,177660,554,0.0031,654.13,1.18,37,647.23,1.0107,0.9895,0,0,0.00,0,0,0.00
,B0F59WGVDP_CARD_HAPPY 1ST FATHER'S DAY_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,165212,1471,0.0089,1420.53,0.97,144,1416.94,1.0025,0.9975,0,0,0.00,0,0,0.00
,B0CRKRWNGZ_COFFEE GLASS_IM NOT SPOILED + WIFE NUTRITION_NGAN,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,555755,3479,0.0063,7816.44,2.25,536,7808.34,1.001,0.999,0,0,0.00,0,0,0.00
,x B0CFQ2N5DF_TUMBLER 20_BEST BOSS + BOSS NUTRITION BLACK,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,170699,691,0.004,1616.58,2.34,99,1629.30,0.9922,1.0079,0,0,0.00,0,0,0.00
,x B0BC8RQ4NG_COFFEE GLASS_BEST WIFE EVER,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,608049,1964,0.0032,4492.64,2.29,287,4537.93,0.99,1.0101,0,0,0.00,0,0,0.00
,B0F59VQYH5_CARD_BONUS DAD_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,156017,846,0.0054,979.93,1.16,109,993.68,0.9862,1.014,0,0,0.00,0,0,0.00
,x B0CHFDJGN6_TUMBLER 20_IM NOT SPOILED + WIFE NUTRITION WHITE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,1642262,4518,0.0028,8904.84,1.97,488,9066.57,0.9822,1.0182,0,0,0.00,0,0,0.00
,B0F59YVGWG_CARD_MY FAVORITE CHILD - DAD_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,298421,1617,0.0054,1639.22,1.01,187,1669.86,0.9817,1.0187,0,0,0.00,0,0,0.00
,x B09S8KNXQK_TUMBLER 20_OTHER 30  WHITE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,1691625,3809,0.0023,7203.43,1.89,373,7346.95,0.9805,1.0199,0,0,0.00,0,0,0.00
,B0F59VGSY3_CARD_BEING MY DAD IS REALLY THE ONLY GIFT YOU NEED_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,234600,694,0.003,775.52,1.12,84,792.13,0.979,1.0214,0,0,0.00,0,0,0.00
,x B09V4PBVVB_BEER GLASS_BEER GLASS_OLD LIVE  MATTER,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,8397875,11710,0.0014,29317.89,2.50,1399,30247.42,0.9693,1.0317,0,0,0.00,0,0,0.00
,B0CBJSYJJS_COFFEE GLASS_MAMA FLOWER_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,258419,1167,0.0045,2281.53,1.96,129,2359.18,0.9671,1.034,0,0,0.00,0,0,0.00
,x B0C9C3GQQ7_COFFEE GLASS_COOL BEST FRIEND CLUB,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,794720,1568,0.002,3161.78,2.02,168,3295.66,0.9594,1.0423,0,0,0.00,0,0,0.00
,B0DH7Y6RDX_WINE GLASS_LIMITED EDITION 1975_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,787171,6035,0.0077,13964.42,2.31,733,14656.29,0.9528,1.0495,0,0,0.00,0,0,0.00
,x B0C5XNHX5K_CANDLE_HAVING ME AS A SON,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,1937208,4043,0.0021,7330.32,1.81,554,7723.95,0.949,1.0537,0,0,0.00,0,0,0.00
,x B0CQK3CW58_COFFEE GLASS_C MONOGRAMMED,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,6080,40,0.0066,56.69,1.42,6,59.94,0.9458,1.0573,0,0,0.00,0,0,0.00
,BRAND KEYWORD,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,5501637,9592,0.0017,13650.24,1.42,703,14854.50,0.9189,1.0882,337,0.9233,7161.19,0.9181,0,0.00
,x B0B4WNS2YH_WINE GLASS_LIMITED EDITION 1982,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,1030183,4032,0.0039,9874.89,2.45,475,10831.49,0.9117,1.0969,0,0,0.00,0,0,0.00
,B0D83SHR3X_CANDLE_SHE'S READING AGAIN_TRINH,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,166443,1367,0.0082,2670.26,1.95,151,2944.16,0.907,1.1026,0,0,0.00,0,0,0.00
,x B0DJY74MRC_ORNAMENT_MANY BOOKS GLASS,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,67136,533,0.0079,780.95,1.47,70,865.02,0.9028,1.1077,0,0,0.00,0,0,0.00
,x B0CQK4V7V5_COFFEE GLASS_J MONOGRAMMED,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,1237350,4164,0.0034,7257.48,1.74,517,8051.79,0.9013,1.1094,0,0,0.00,0,0,0.00
,B0CHJ1V1RR_TUMBLER 20_I CANT I HAVE PLAN IN THE GARAGE BLACK_THILE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,1192730,4794,0.004,7516.26,1.57,477,8390.03,0.8959,1.1163,0,0,0.00,0,0,0.00
,B0F2TD6J1Q_CARD_MOTHER & DAUGHTER_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,76778,909,0.0118,751.65,0.83,91,845.07,0.8895,1.1243,0,0,0.00,0,0,0.00
,x B0BR3MWM32_WINE GLASS_LIMITED EDITION 1973,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,2360716,7709,0.0033,13440.33,1.74,732,15213.27,0.8835,1.1319,0,0,0.00,0,0,0.00
,x B0C9BZS6M8_COFFEE GLASS_HALF TEACHER HALF COFFEE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,645323,1675,0.0026,2589.31,1.55,169,2956.43,0.8758,1.1418,0,0,0.00,0,0,0.00
,x B0DK16QK9D_ORNAMENT_BASEBALL CERAMIC,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,179194,555,0.0031,1034.22,1.86,110,1183.82,0.8736,1.1447,0,0,0.00,0,0,0.00
,B0BRCDZRSP_COFFEE GLASS_BEST FUCKING FRIEND EVER_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,829465,1992,0.0024,3416.58,1.72,221,3921.58,0.8712,1.1478,0,0,0.00,0,0,0.00
,x B0B1T794ZP_ CANDLE_I WISH YOU LIVED NEXT DOOR,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,6201844,24344,0.0039,56852.07,2.34,3104,65412.51,0.8691,1.1506,0,0,0.00,0,0,0.00
,x B0BYDBPSBQ_COFFEE GLASS_DAILY REMINDERS,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,669864,8051,0.012,6786.58,0.84,409,7838.59,0.8658,1.155,0,0,0.00,0,0,0.00
,B0DVSKXLS5_BIBLE JAR_MOM_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,4516623,40816,0.009,72005.23,1.76,4226,83384.38,0.8635,1.158,0,0,0.00,0,0,0.00
,B0F7WYS1R1_BIBLE JAR_UNCLE_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,16725,268,0.016,593.95,2.22,38,689.84,0.861,1.1614,0,0,0.00,0,0,0.00
,x B0BYDC9VC8_COFFEE GLASS_YOURE AMAZING,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,74288,488,0.0066,468.80,0.96,31,545.38,0.8596,1.1634,0,0,0.00,0,0,0.00
,B0CQ2K12H3_TUMBLER 20_MY FAVORITE GRANDCHILD + GRANDMA NUTRITION WHITE_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,970143,5164,0.0053,10461.81,2.03,677,12282.23,0.8518,1.174,0,0,0.00,0,0,0.00
,x B0D1GG9MS2_HAT_DAD LEVEL UNLOCKED,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,1208365,1678,0.0014,4705.55,2.80,268,5544.42,0.8487,1.1783,0,0,0.00,0,0,0.00
,x B07TV5751F_I'D WALK THROUGH FIRE FOR SISTER,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,264998,1898,0.0072,1906.09,1.00,194,2251.12,0.8467,1.181,0,0,0.00,0,0,0.00
,x B09BZ98BCS_TUMBLER 20_SISTER UNICORN WHITE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,4331457,17079,0.0039,25106.52,1.47,1306,29789.83,0.8428,1.1865,0,0,0.00,0,0,0.00
,TEST KEY ORNAMENT,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,85366,425,0.005,566.37,1.33,41,672.19,0.8426,1.1868,0,0,0.00,0,0,0.00
,x B0B7M62T24_TUMBLER 12_21 WITH 19 YEARS EXPERIENCE ROSE GOLD,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,74286,100,0.0013,303.97,3.04,18,362.64,0.8382,1.193,0,0,0.00,0,0,0.00
,x B0B9SCJVV7_COFFEE GLASS_BRIDE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,1617233,6020,0.0037,10047.56,1.67,805,12048.52,0.8339,1.1991,0,0,0.00,0,0,0.00
,B0F7XCP31P_BIBLE JAR_BROTHER_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,87591,866,0.0099,1503.56,1.74,97,1804.66,0.8332,1.2003,0,0,0.00,0,0,0.00
,B0CRKQR2KF_COFFEE GLASS_BESTIE + BESITE NUTRITION_TRINH,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,736942,5505,0.0075,7452.99,1.35,504,9000.04,0.8281,1.2076,0,0,0.00,0,0,0.00
,x B0B5RJWDFX_CANDLE_MOMS LAST NERVE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,7763650,22806,0.0029,47372.10,2.08,3392,57622.79,0.8221,1.2164,0,0,0.00,0,0,0.00
,B097B9H21P_TUMBLER 20_MOM NUTRITION WHITE_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,16683519,82508,0.0049,152795.74,1.85,8214,185880.32,0.822,1.2165,0,0,0.00,0,0,0.00
,x B0CZDP6TCN_HAT_IM NOT OLD IM CLASSIC_NGAN,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,546861,2274,0.0042,4669.52,2.05,283,5770.30,0.8092,1.2357,0,0,0.00,0,0,0.00
,x B0B4WQMS2D_WINE GLASS_VINTAGE 1962,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,1093626,4075,0.0037,9841.69,2.42,513,12188.42,0.8075,1.2384,0,0,0.00,0,0,0.00
,B0D6GGZ5TL_CANDLE_HAPPY NEW HOME_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,237758,2245,0.0094,4513.98,2.01,301,5590.92,0.8074,1.2386,0,0,0.00,0,0,0.00
