State,Portfolio,Status,Budget type,Budget(USD),Budget start,Budget end,Campaign count,Impressions,Clicks,CTR,Spend(USD),CPC(USD),Orders,Sales(USD),ACOS,ROAS,NTB orders,% of orders NTB,NTB sales(USD),% of sales NTB,Viewable impressions,VCPM(USD)
,B0CQ4X98YF_TUMBLER 20_FAVORITE GRANDCHILD GRANDPA NUTRI BLACK_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,250017,959,0.0038,1445.44,1.51,214,4256.22,0.3396,2.9446,0,0,0.00,0,0,0.00
,B0CM5T2F1V_HAT_TRUCKER HAT 1974,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,2229850,9847,0.0044,19925.48,2.02,2438,64390.07,0.3094,3.2315,0,0,0.00,0,0,0.00
,B0CY4HY9KC_TUMBLER 20_DON'T BE A DUMB BASS NAVY_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,305886,1145,0.0037,1525.01,1.33,223,5299.98,0.2877,3.4754,0,0,0.00,0,0,0.00
,x B0DH886R83_TUMBLER 20_VINTAGE 1945 + WEIRD BEING NAVY_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,B0FC6DQZCQ_CARD_GETTING ALL MARRIED AND SHIT Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,x B0BRB5SPYZ_COFFEE GLASS_I'D SHANK ABITCH FOR YOU_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,"B0F13MKH7X_WINE GLASS_A WISE WOMEN ONCE SAID ""FUCK THIS SHIT""_Linh",PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,B0CKYMNV39_CATS AND BOOK,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,x B0B6FR26NT_CANDLE_I'D SHANK ABITCH FOR YOU,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,TEST AI,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,B0FC5TLHKZ_CARD_SHIT SHOW SUPERVISOR,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,x B0BRB6C2YB_COFFEE GLASS_IS YOU 30,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,Launching_B0FBQZZK71_BIBLE JAR_GRANDMA_THILE,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,x B0DJBHB65W_CANDLE_LIFE IS TOUGH,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,x B0D4QG5X87_TUMBLER 20_IN MY WIFEY ERA,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,x COOL MOM CLUB TOTE BAG,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,B0DCJQ2SKV_COFFEE GLASS_MILF EST 2025_Linh,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,BUNDLE 2024,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
,x B0CKYLPHSV_BEER GLASS_DAD UGLY_NGAN,PORTFOLIO_STATUS_ENABLED,NO_CAP,,,,,0,0,0,0.00,0.00,0,0.00,0,0,0,0,0.00,0,0,0.00
